date,timeMODIS,timeImage,cloudMaskForMODISTime,coverageForMODISTime
2015-08-08 11:55:00,2015-08-08 11:55:00,2015-08-08 11:54:00,1.0,0.955528
2015-08-09 11:00:00,2015-08-09 11:00:00,2015-08-09 11:00:00,1.0,0.402204
2015-08-10 11:45:00,2015-08-10 11:45:00,2015-08-10 11:44:01,0.888888888889,0.569052
2015-08-12 11:35:00,2015-08-12 11:35:00,2015-08-12 11:34:01,1.0,0.484612
2015-08-14 11:20:00,2015-08-14 11:20:00,2015-08-14 11:20:01,0.0,0.410884
2015-08-15 12:05:00,2015-08-15 12:05:00,2015-08-15 12:04:01,0.111111111111,0.500008
2015-08-16 11:10:00,2015-08-16 11:10:00,2015-08-16 11:10:01,1.0,0.657
2015-08-17 11:50:00,2015-08-17 11:50:00,2015-08-17 11:50:00,0.555555555556,0.54178
2015-08-18 10:55:00,2015-08-18 10:55:00,2015-08-18 10:54:01,1.0,0.766156
2015-08-19 11:40:00,2015-08-19 11:40:00,2015-08-19 11:40:01,0.222222222222,0.620324
2015-08-21 11:25:00,2015-08-21 11:25:00,2015-08-21 11:24:01,1.0,0.78558
2015-08-22 12:10:00,2015-08-22 12:10:00,2015-08-22 12:10:00,1.0,0.921108
2015-08-23 11:15:00,2015-08-23 11:15:00,2015-08-23 11:14:00,1.0,0.774588
2015-08-24 11:55:00,2015-08-24 11:55:00,2015-08-24 11:54:01,1.0,0.671196
2015-08-25 11:00:00,2015-08-25 11:00:00,2015-08-25 11:00:00,1.0,0.590776
2015-08-26 11:45:00,2015-08-26 11:45:00,2015-08-26 11:44:01,1.0,0.676716
2015-08-28 11:35:00,2015-08-28 11:35:00,2015-08-28 11:34:00,0.888888888889,0.54174
2015-09-02 11:50:00,2015-09-02 11:50:00,2015-09-02 11:50:04,1.0,0.266816
2015-09-03 10:55:00,2015-09-03 10:55:00,2015-09-03 10:56:01,1.0,0.496924
2015-09-04 11:40:00,2015-09-04 11:40:00,2015-09-04 11:40:05,1.0,0.501544
2015-09-06 11:25:00,2015-09-06 11:25:00,2015-09-06 11:24:00,0.666666666667,0.708964
2015-09-07 12:10:00,2015-09-07 12:10:00,2015-09-07 12:10:05,1.0,0.660228
2015-09-08 11:15:00,2015-09-08 11:15:00,2015-09-08 11:14:02,1.0,0.765196
2015-09-09 11:55:00,2015-09-09 11:55:00,2015-09-09 11:54:01,1.0,0.660428
2015-09-10 11:00:00,2015-09-10 11:00:00,2015-09-10 11:00:04,1.0,0.106888
2015-09-11 11:45:00,2015-09-11 11:45:00,2015-09-11 11:44:01,1.0,0.62854
