Image, Date, Time, Cloud_Coverage 
2015-09-26-08-00-00-wahrsis3-high.jpg,2015:09:26,08:00:07,0.360796
2015-09-26-08-00-00-wahrsis3-low.jpg,2015:09:26,08:00:04,0.30174
2015-09-26-08-02-01-wahrsis3-high.jpg,2015:09:26,08:02:08,0.345672
2015-09-26-08-02-01-wahrsis3-low.jpg,2015:09:26,08:02:04,0.30736
2015-09-26-08-02-01-wahrsis3-med.jpg,2015:09:26,08:02:01,0.299144
2015-09-26-08-04-01-wahrsis3-high.jpg,2015:09:26,08:04:08,0.34102
2015-09-26-08-04-01-wahrsis3-low.jpg,2015:09:26,08:04:04,0.302472
2015-09-26-08-04-01-wahrsis3-med.jpg,2015:09:26,08:04:01,0.299432
2015-09-26-08-06-01-wahrsis3-high.jpg,2015:09:26,08:06:08,0.34546
2015-09-26-08-06-01-wahrsis3-low.jpg,2015:09:26,08:06:05,0.309024
2015-09-26-08-06-01-wahrsis3-med.jpg,2015:09:26,08:06:01,0.29924
2015-09-26-08-08-01-wahrsis3-high.jpg,2015:09:26,08:08:08,0.353268
2015-09-26-08-08-01-wahrsis3-low.jpg,2015:09:26,08:08:05,0.277584
2015-09-26-08-08-01-wahrsis3-med.jpg,2015:09:26,08:08:01,0.314284
2015-09-26-08-10-01-wahrsis3-high.jpg,2015:09:26,08:10:08,0.348376
2015-09-26-08-10-01-wahrsis3-low.jpg,2015:09:26,08:10:04,0.519512
2015-09-26-08-10-01-wahrsis3-med.jpg,2015:09:26,08:10:01,0.3118
2015-09-26-08-12-01-wahrsis3-high.jpg,2015:09:26,08:12:08,0.354068
2015-09-26-08-12-01-wahrsis3-low.jpg,2015:09:26,08:12:04,0.55508
2015-09-26-08-12-01-wahrsis3-med.jpg,2015:09:26,08:12:01,0.314864
2015-09-26-08-14-01-wahrsis3-high.jpg,2015:09:26,08:14:08,0.354096
2015-09-26-08-14-01-wahrsis3-low.jpg,2015:09:26,08:14:05,0.53028
2015-09-26-08-14-01-wahrsis3-med.jpg,2015:09:26,08:14:01,0.316604
2015-09-26-08-16-01-wahrsis3-high.jpg,2015:09:26,08:16:08,0.360836
2015-09-26-08-16-01-wahrsis3-low.jpg,2015:09:26,08:16:05,0.539412
2015-09-26-08-16-01-wahrsis3-med.jpg,2015:09:26,08:16:01,0.318184
2015-09-26-08-18-01-wahrsis3-high.jpg,2015:09:26,08:18:08,0.354152
2015-09-26-08-18-01-wahrsis3-low.jpg,2015:09:26,08:18:05,0.300436
2015-09-26-08-18-01-wahrsis3-med.jpg,2015:09:26,08:18:01,0.316052
2015-09-26-08-20-01-wahrsis3-high.jpg,2015:09:26,08:20:08,0.354616
2015-09-26-08-20-01-wahrsis3-low.jpg,2015:09:26,08:20:05,0.567124
2015-09-26-08-20-01-wahrsis3-med.jpg,2015:09:26,08:20:01,0.317684
2015-09-26-08-22-01-wahrsis3-high.jpg,2015:09:26,08:22:08,0.340796
2015-09-26-08-22-01-wahrsis3-low.jpg,2015:09:26,08:22:04,0.284324
2015-09-26-08-22-01-wahrsis3-med.jpg,2015:09:26,08:22:01,0.3086
2015-09-26-08-24-01-wahrsis3-high.jpg,2015:09:26,08:24:08,0.341832
