Image, Date, Time, Cloud_Coverage 
2015-12-07-08-00-01-wahrsis3-low.jpg,2015:12:07,08:00:01,0.350948
2015-12-07-08-02-01-wahrsis3-low.jpg,2015:12:07,08:02:01,0.458888
2015-12-07-08-04-01-wahrsis3-low.jpg,2015:12:07,08:04:01,0.469668
2015-12-07-08-06-01-wahrsis3-low.jpg,2015:12:07,08:06:01,0.459068
2015-12-07-08-08-01-wahrsis3-low.jpg,2015:12:07,08:08:01,0.472012
2015-12-07-08-10-01-wahrsis3-low.jpg,2015:12:07,08:10:01,0.419092
2015-12-07-08-12-01-wahrsis3-low.jpg,2015:12:07,08:12:01,0.408932
2015-12-07-08-14-01-wahrsis3-low.jpg,2015:12:07,08:14:01,0.406332
2015-12-07-08-16-01-wahrsis3-low.jpg,2015:12:07,08:16:01,0.41428
2015-12-07-08-18-01-wahrsis3-low.jpg,2015:12:07,08:18:01,0.426272
2015-12-07-08-20-01-wahrsis3-low.jpg,2015:12:07,08:20:01,0.403708
2015-12-07-08-22-01-wahrsis3-low.jpg,2015:12:07,08:22:02,0.41852
2015-12-07-08-24-01-wahrsis3-low.jpg,2015:12:07,08:24:02,0.447556
2015-12-07-08-26-01-wahrsis3-low.jpg,2015:12:07,08:26:01,0.465252
2015-12-07-08-28-01-wahrsis3-low.jpg,2015:12:07,08:28:01,0.45242
2015-12-07-08-30-01-wahrsis3-low.jpg,2015:12:07,08:30:01,0.453816
2015-12-07-08-32-01-wahrsis3-low.jpg,2015:12:07,08:32:01,0.480996
2015-12-07-08-34-01-wahrsis3-low.jpg,2015:12:07,08:34:02,0.49764
2015-12-07-08-36-01-wahrsis3-low.jpg,2015:12:07,08:36:02,0.48974
2015-12-07-08-38-01-wahrsis3-low.jpg,2015:12:07,08:38:01,0.484808
2015-12-07-08-40-01-wahrsis3-low.jpg,2015:12:07,08:40:01,0.444076
2015-12-07-08-42-01-wahrsis3-low.jpg,2015:12:07,08:42:01,0.437664
2015-12-07-08-44-01-wahrsis3-low.jpg,2015:12:07,08:44:02,0.4465
2015-12-07-08-46-01-wahrsis3-low.jpg,2015:12:07,08:46:01,0.398292
2015-12-07-08-48-01-wahrsis3-low.jpg,2015:12:07,08:48:01,0.382592
2015-12-07-08-50-01-wahrsis3-low.jpg,2015:12:07,08:50:01,0.377748
2015-12-07-08-52-01-wahrsis3-low.jpg,2015:12:07,08:52:01,0.369036
2015-12-07-08-54-01-wahrsis3-low.jpg,2015:12:07,08:54:01,0.331584
2015-12-07-08-56-01-wahrsis3-low.jpg,2015:12:07,08:56:02,0.342892
2015-12-07-08-58-01-wahrsis3-low.jpg,2015:12:07,08:58:01,0.358804
2015-12-07-09-00-01-wahrsis3-low.jpg,2015:12:07,09:00:01,0.310876
2015-12-07-09-02-01-wahrsis3-low.jpg,2015:12:07,09:02:01,0.283964
2015-12-07-09-04-01-wahrsis3-low.jpg,2015:12:07,09:04:01,0.288092
2015-12-07-09-06-01-wahrsis3-low.jpg,2015:12:07,09:06:01,0.360732
2015-12-07-09-08-01-wahrsis3-low.jpg,2015:12:07,09:08:01,0.29508
2015-12-07-09-10-01-wahrsis3-low.jpg,2015:12:07,09:10:01,0.316516
2015-12-07-09-12-01-wahrsis3-low.jpg,2015:12:07,09:12:01,0.330852
2015-12-07-09-14-01-wahrsis3-low.jpg,2015:12:07,09:14:01,0.329736
