Image, Date, Time, Cloud_Coverage 
2015-12-20-08-02-00-wahrsis3-low.jpg,2015:12:20,08:02:01,0.753444
2015-12-20-08-04-00-wahrsis3-low.jpg,2015:12:20,08:04:00,0.774452
2015-12-20-08-06-00-wahrsis3-low.jpg,2015:12:20,08:06:00,0.681084
2015-12-20-08-08-00-wahrsis3-low.jpg,2015:12:20,08:08:01,0.70124
2015-12-20-08-10-00-wahrsis3-low.jpg,2015:12:20,08:10:00,0.704396
2015-12-20-08-12-00-wahrsis3-low.jpg,2015:12:20,08:12:00,0.65316
2015-12-20-08-14-00-wahrsis3-low.jpg,2015:12:20,08:14:00,0.682812
2015-12-20-08-16-00-wahrsis3-low.jpg,2015:12:20,08:16:00,0.636332
2015-12-20-08-18-00-wahrsis3-low.jpg,2015:12:20,08:18:00,0.632992
2015-12-20-08-20-00-wahrsis3-low.jpg,2015:12:20,08:20:00,0.622608
2015-12-20-08-22-00-wahrsis3-low.jpg,2015:12:20,08:22:00,0.5991
2015-12-20-08-24-00-wahrsis3-low.jpg,2015:12:20,08:24:00,0.70244
2015-12-20-08-26-00-wahrsis3-low.jpg,2015:12:20,08:26:01,0.672816
2015-12-20-08-28-00-wahrsis3-low.jpg,2015:12:20,08:28:00,0.605068
2015-12-20-08-30-00-wahrsis3-low.jpg,2015:12:20,08:30:00,0.509456
2015-12-20-08-32-00-wahrsis3-low.jpg,2015:12:20,08:32:00,0.685376
2015-12-20-08-34-00-wahrsis3-low.jpg,2015:12:20,08:34:00,0.672428
2015-12-20-08-36-00-wahrsis3-low.jpg,2015:12:20,08:36:00,0.684136
2015-12-20-08-37-59-wahrsis3-low.jpg,2015:12:20,08:38:00,0.6798
2015-12-20-08-40-00-wahrsis3-low.jpg,2015:12:20,08:40:00,0.686896
2015-12-20-08-42-00-wahrsis3-low.jpg,2015:12:20,08:42:00,0.637396
2015-12-20-08-44-00-wahrsis3-low.jpg,2015:12:20,08:44:00,0.624012
2015-12-20-08-46-00-wahrsis3-low.jpg,2015:12:20,08:46:00,0.658128
2015-12-20-08-48-00-wahrsis3-low.jpg,2015:12:20,08:48:00,0.629212
2015-12-20-08-50-00-wahrsis3-low.jpg,2015:12:20,08:50:00,0.605148
2015-12-20-08-52-00-wahrsis3-low.jpg,2015:12:20,08:52:00,0.652056
2015-12-20-08-54-00-wahrsis3-low.jpg,2015:12:20,08:54:00,0.713188
2015-12-20-08-56-00-wahrsis3-low.jpg,2015:12:20,08:56:01,0.735552
2015-12-20-08-58-00-wahrsis3-low.jpg,2015:12:20,08:58:00,0.722456
2015-12-20-09-00-00-wahrsis3-low.jpg,2015:12:20,09:00:00,0.74272
2015-12-20-09-02-00-wahrsis3-low.jpg,2015:12:20,09:02:00,0.719988
2015-12-20-09-04-00-wahrsis3-low.jpg,2015:12:20,09:04:00,0.708056
2015-12-20-09-06-00-wahrsis3-low.jpg,2015:12:20,09:06:00,0.672992
2015-12-20-09-08-00-wahrsis3-low.jpg,2015:12:20,09:08:00,0.688708
2015-12-20-09-10-00-wahrsis3-low.jpg,2015:12:20,09:10:01,0.660164
2015-12-20-09-12-00-wahrsis3-low.jpg,2015:12:20,09:12:00,0.672036
2015-12-20-09-14-00-wahrsis3-low.jpg,2015:12:20,09:14:00,0.671484
2015-12-20-09-16-00-wahrsis3-low.jpg,2015:12:20,09:16:00,0.607772
2015-12-20-09-18-00-wahrsis3-low.jpg,2015:12:20,09:18:00,0.581324
2015-12-20-09-19-59-wahrsis3-low.jpg,2015:12:20,09:20:00,0.568852
2015-12-20-09-22-00-wahrsis3-low.jpg,2015:12:20,09:22:00,0.58958
2015-12-20-09-24-00-wahrsis3-low.jpg,2015:12:20,09:24:00,0.644704
2015-12-20-09-26-00-wahrsis3-low.jpg,2015:12:20,09:26:00,0.621704
2015-12-20-09-28-00-wahrsis3-low.jpg,2015:12:20,09:28:00,0.609032
2015-12-20-09-30-00-wahrsis3-low.jpg,2015:12:20,09:30:00,0.601652
2015-12-20-09-32-00-wahrsis3-low.jpg,2015:12:20,09:32:01,0.666668
2015-12-20-09-34-00-wahrsis3-low.jpg,2015:12:20,09:34:00,0.693724
2015-12-20-09-36-00-wahrsis3-low.jpg,2015:12:20,09:36:00,0.703424
2015-12-20-09-38-00-wahrsis3-low.jpg,2015:12:20,09:38:00,0.6858
2015-12-20-09-39-59-wahrsis3-low.jpg,2015:12:20,09:40:00,0.707436
2015-12-20-09-42-00-wahrsis3-low.jpg,2015:12:20,09:42:00,0.71044
2015-12-20-09-44-00-wahrsis3-low.jpg,2015:12:20,09:44:00,0.674524
2015-12-20-09-46-00-wahrsis3-low.jpg,2015:12:20,09:46:00,0.670724
2015-12-20-09-47-59-wahrsis3-low.jpg,2015:12:20,09:48:00,0.663588
2015-12-20-09-50-00-wahrsis3-low.jpg,2015:12:20,09:50:00,0.647276
2015-12-20-09-52-00-wahrsis3-low.jpg,2015:12:20,09:52:00,0.726128
2015-12-20-09-54-00-wahrsis3-low.jpg,2015:12:20,09:54:00,0.674296
2015-12-20-09-56-00-wahrsis3-low.jpg,2015:12:20,09:56:00,0.718904
2015-12-20-09-58-00-wahrsis3-low.jpg,2015:12:20,09:58:00,0.72782
2015-12-20-09-59-59-wahrsis3-low.jpg,2015:12:20,10:00:00,0.722184
2015-12-20-10-00-19-wahrsis3-low.jpg,2015:12:20,10:00:20,0.75068
2015-12-20-10-00-39-wahrsis3-low.jpg,2015:12:20,10:00:40,0.75714
2015-12-20-10-01-00-wahrsis3-low.jpg,2015:12:20,10:01:00,0.750004
2015-12-20-10-01-20-wahrsis3-low.jpg,2015:12:20,10:01:20,0.759128
2015-12-20-10-01-40-wahrsis3-low.jpg,2015:12:20,10:01:40,0.746164
2015-12-20-10-02-00-wahrsis3-low.jpg,2015:12:20,10:02:00,0.771196
2015-12-20-10-02-20-wahrsis3-low.jpg,2015:12:20,10:02:20,0.781336
2015-12-20-10-02-40-wahrsis3-low.jpg,2015:12:20,10:02:40,0.809304
2015-12-20-10-03-00-wahrsis3-low.jpg,2015:12:20,10:03:00,0.779088
2015-12-20-10-03-20-wahrsis3-low.jpg,2015:12:20,10:03:20,0.822348
2015-12-20-10-03-40-wahrsis3-low.jpg,2015:12:20,10:03:40,0.84062
2015-12-20-10-04-00-wahrsis3-low.jpg,2015:12:20,10:04:00,0.79686
2015-12-20-10-04-20-wahrsis3-low.jpg,2015:12:20,10:04:20,0.791488
2015-12-20-10-04-40-wahrsis3-low.jpg,2015:12:20,10:04:40,0.827676
2015-12-20-10-05-00-wahrsis3-low.jpg,2015:12:20,10:05:00,0.82482
2015-12-20-10-05-20-wahrsis3-low.jpg,2015:12:20,10:05:20,0.829656
2015-12-20-10-05-40-wahrsis3-low.jpg,2015:12:20,10:05:40,0.801448
2015-12-20-10-06-00-wahrsis3-low.jpg,2015:12:20,10:06:00,0.84628
2015-12-20-10-06-20-wahrsis3-low.jpg,2015:12:20,10:06:20,0.823912
2015-12-20-10-06-40-wahrsis3-low.jpg,2015:12:20,10:06:40,0.828608
2015-12-20-10-07-00-wahrsis3-low.jpg,2015:12:20,10:07:00,0.8154
2015-12-20-10-07-20-wahrsis3-low.jpg,2015:12:20,10:07:20,0.821384
2015-12-20-10-07-40-wahrsis3-low.jpg,2015:12:20,10:07:40,0.839948
2015-12-20-10-08-00-wahrsis3-low.jpg,2015:12:20,10:08:00,0.812748
2015-12-20-10-08-20-wahrsis3-low.jpg,2015:12:20,10:08:20,0.80068
2015-12-20-10-08-40-wahrsis3-low.jpg,2015:12:20,10:08:40,0.765456
2015-12-20-10-08-59-wahrsis3-low.jpg,2015:12:20,10:09:00,0.7371
2015-12-20-10-09-19-wahrsis3-low.jpg,2015:12:20,10:09:20,0.768052
2015-12-20-10-09-39-wahrsis3-low.jpg,2015:12:20,10:09:40,0.772684
2015-12-20-10-09-59-wahrsis3-low.jpg,2015:12:20,10:10:00,0.794004
2015-12-20-10-10-19-wahrsis3-low.jpg,2015:12:20,10:10:20,0.79538
2015-12-20-10-10-39-wahrsis3-low.jpg,2015:12:20,10:10:40,0.79076
2015-12-20-10-11-00-wahrsis3-low.jpg,2015:12:20,10:11:00,0.788476
2015-12-20-10-11-20-wahrsis3-low.jpg,2015:12:20,10:11:20,0.787748
2015-12-20-10-11-40-wahrsis3-low.jpg,2015:12:20,10:11:40,0.763132
2015-12-20-10-12-00-wahrsis3-low.jpg,2015:12:20,10:12:00,0.799204
2015-12-20-10-12-20-wahrsis3-low.jpg,2015:12:20,10:12:20,0.783832
2015-12-20-10-12-40-wahrsis3-low.jpg,2015:12:20,10:12:41,0.784832
2015-12-20-10-12-59-wahrsis3-low.jpg,2015:12:20,10:13:00,0.784068
2015-12-20-10-13-19-wahrsis3-low.jpg,2015:12:20,10:13:20,0.772836
2015-12-20-10-13-40-wahrsis3-low.jpg,2015:12:20,10:13:40,0.767108
2015-12-20-10-14-00-wahrsis3-low.jpg,2015:12:20,10:14:00,0.748324
2015-12-20-10-14-20-wahrsis3-low.jpg,2015:12:20,10:14:20,0.76306
2015-12-20-10-14-40-wahrsis3-low.jpg,2015:12:20,10:14:40,0.775644
2015-12-20-10-15-00-wahrsis3-low.jpg,2015:12:20,10:15:00,0.761192
2015-12-20-10-15-20-wahrsis3-low.jpg,2015:12:20,10:15:20,0.764208
2015-12-20-10-15-40-wahrsis3-low.jpg,2015:12:20,10:15:40,0.76614
2015-12-20-10-16-00-wahrsis3-low.jpg,2015:12:20,10:16:00,0.750552
2015-12-20-10-16-20-wahrsis3-low.jpg,2015:12:20,10:16:20,0.735264
2015-12-20-10-16-40-wahrsis3-low.jpg,2015:12:20,10:16:40,0.747856
2015-12-20-10-17-00-wahrsis3-low.jpg,2015:12:20,10:17:00,0.752648
2015-12-20-10-17-20-wahrsis3-low.jpg,2015:12:20,10:17:20,0.7439
2015-12-20-10-17-40-wahrsis3-low.jpg,2015:12:20,10:17:40,0.740536
2015-12-20-10-18-00-wahrsis3-low.jpg,2015:12:20,10:18:00,0.71004
