Image, Date, Time, Cloud_Coverage 
2015-12-19-08-00-01-wahrsis3-low.jpg,2015:12:19,08:00:01,0.478292
2015-12-19-08-02-01-wahrsis3-low.jpg,2015:12:19,08:02:02,0.4785
2015-12-19-08-04-02-wahrsis3-low.jpg,2015:12:19,08:04:02,0.485228
2015-12-19-08-06-01-wahrsis3-low.jpg,2015:12:19,08:06:01,0.475224
2015-12-19-08-08-02-wahrsis3-low.jpg,2015:12:19,08:08:02,0.454164
2015-12-19-08-10-02-wahrsis3-low.jpg,2015:12:19,08:10:02,0.481936
2015-12-19-08-12-01-wahrsis3-low.jpg,2015:12:19,08:12:01,0.47516
2015-12-19-08-14-01-wahrsis3-low.jpg,2015:12:19,08:14:01,0.457768
2015-12-19-08-16-01-wahrsis3-low.jpg,2015:12:19,08:16:01,0.471648
2015-12-19-08-18-01-wahrsis3-low.jpg,2015:12:19,08:18:01,0.468888
2015-12-19-08-20-01-wahrsis3-low.jpg,2015:12:19,08:20:01,0.4816
2015-12-19-08-22-01-wahrsis3-low.jpg,2015:12:19,08:22:01,0.458112
2015-12-19-08-24-01-wahrsis3-low.jpg,2015:12:19,08:24:01,0.457768
2015-12-19-08-26-01-wahrsis3-low.jpg,2015:12:19,08:26:02,0.440908
2015-12-19-08-28-01-wahrsis3-low.jpg,2015:12:19,08:28:01,0.441208
2015-12-19-08-30-01-wahrsis3-low.jpg,2015:12:19,08:30:01,0.44014
2015-12-19-08-32-01-wahrsis3-low.jpg,2015:12:19,08:32:01,0.393332
2015-12-19-08-34-01-wahrsis3-low.jpg,2015:12:19,08:34:01,0.415468
2015-12-19-08-36-01-wahrsis3-low.jpg,2015:12:19,08:36:01,0.4093
2015-12-19-08-38-01-wahrsis3-low.jpg,2015:12:19,08:38:02,0.41468
2015-12-19-08-40-01-wahrsis3-low.jpg,2015:12:19,08:40:01,0.397536
2015-12-19-08-42-01-wahrsis3-low.jpg,2015:12:19,08:42:01,0.404432
2015-12-19-08-44-01-wahrsis3-low.jpg,2015:12:19,08:44:02,0.419556
2015-12-19-08-46-01-wahrsis3-low.jpg,2015:12:19,08:46:01,0.426784
2015-12-19-08-48-01-wahrsis3-low.jpg,2015:12:19,08:48:01,0.431408
2015-12-19-08-50-01-wahrsis3-low.jpg,2015:12:19,08:50:01,0.43432
2015-12-19-08-52-01-wahrsis3-low.jpg,2015:12:19,08:52:01,0.439644
2015-12-19-08-54-01-wahrsis3-low.jpg,2015:12:19,08:54:01,0.438368
2015-12-19-08-56-01-wahrsis3-low.jpg,2015:12:19,08:56:01,0.48916
2015-12-19-08-58-01-wahrsis3-low.jpg,2015:12:19,08:58:01,0.444248
2015-12-19-09-00-01-wahrsis3-low.jpg,2015:12:19,09:00:02,0.44984
2015-12-19-09-02-01-wahrsis3-low.jpg,2015:12:19,09:02:01,0.444404
2015-12-19-09-04-01-wahrsis3-low.jpg,2015:12:19,09:04:01,0.434864
2015-12-19-09-06-01-wahrsis3-low.jpg,2015:12:19,09:06:02,0.44666
2015-12-19-09-08-01-wahrsis3-low.jpg,2015:12:19,09:08:01,0.432452
2015-12-19-09-10-01-wahrsis3-low.jpg,2015:12:19,09:10:01,0.421672
2015-12-19-09-12-01-wahrsis3-low.jpg,2015:12:19,09:12:02,0.406744
2015-12-19-09-14-01-wahrsis3-low.jpg,2015:12:19,09:14:02,0.412468
2015-12-19-09-16-01-wahrsis3-low.jpg,2015:12:19,09:16:01,0.413192
2015-12-19-09-18-01-wahrsis3-low.jpg,2015:12:19,09:18:01,0.397696
2015-12-19-09-20-01-wahrsis3-low.jpg,2015:12:19,09:20:02,0.414016
2015-12-19-09-22-01-wahrsis3-low.jpg,2015:12:19,09:22:01,0.392912
2015-12-19-09-24-01-wahrsis3-low.jpg,2015:12:19,09:24:01,0.4124
2015-12-19-09-26-01-wahrsis3-low.jpg,2015:12:19,09:26:01,0.425216
2015-12-19-09-28-01-wahrsis3-low.jpg,2015:12:19,09:28:01,0.431924
2015-12-19-09-30-01-wahrsis3-low.jpg,2015:12:19,09:30:01,0.42544
2015-12-19-09-32-01-wahrsis3-low.jpg,2015:12:19,09:32:02,0.430308
2015-12-19-09-34-01-wahrsis3-low.jpg,2015:12:19,09:34:01,0.451076
2015-12-19-09-36-01-wahrsis3-low.jpg,2015:12:19,09:36:01,0.435104
2015-12-19-09-38-01-wahrsis3-low.jpg,2015:12:19,09:38:01,0.435512
2015-12-19-09-40-01-wahrsis3-low.jpg,2015:12:19,09:40:01,0.4239
2015-12-19-09-42-01-wahrsis3-low.jpg,2015:12:19,09:42:01,0.43678
2015-12-19-09-44-01-wahrsis3-low.jpg,2015:12:19,09:44:01,0.425392
2015-12-19-09-46-01-wahrsis3-low.jpg,2015:12:19,09:46:01,0.50404
2015-12-19-09-48-01-wahrsis3-low.jpg,2015:12:19,09:48:01,0.43136
2015-12-19-09-50-01-wahrsis3-low.jpg,2015:12:19,09:50:01,0.4517
2015-12-19-09-52-01-wahrsis3-low.jpg,2015:12:19,09:52:01,0.483824
2015-12-19-09-54-01-wahrsis3-low.jpg,2015:12:19,09:54:01,0.439712
2015-12-19-09-56-01-wahrsis3-low.jpg,2015:12:19,09:56:02,0.466336
2015-12-19-09-58-01-wahrsis3-low.jpg,2015:12:19,09:58:01,0.494008
2015-12-19-10-00-01-wahrsis3-low.jpg,2015:12:19,10:00:01,0.450436
2015-12-19-10-00-21-wahrsis3-low.jpg,2015:12:19,10:00:22,0.441952
2015-12-19-10-00-41-wahrsis3-low.jpg,2015:12:19,10:00:41,0.435736
2015-12-19-10-01-01-wahrsis3-low.jpg,2015:12:19,10:01:01,0.448744
2015-12-19-10-01-21-wahrsis3-low.jpg,2015:12:19,10:01:21,0.465972
2015-12-19-10-01-41-wahrsis3-low.jpg,2015:12:19,10:01:41,0.481832
2015-12-19-10-02-01-wahrsis3-low.jpg,2015:12:19,10:02:01,0.47718
2015-12-19-10-02-21-wahrsis3-low.jpg,2015:12:19,10:02:21,0.462292
2015-12-19-10-02-41-wahrsis3-low.jpg,2015:12:19,10:02:41,0.4924
2015-12-19-10-03-01-wahrsis3-low.jpg,2015:12:19,10:03:01,0.489248
2015-12-19-10-03-21-wahrsis3-low.jpg,2015:12:19,10:03:21,0.503124
2015-12-19-10-03-41-wahrsis3-low.jpg,2015:12:19,10:03:41,0.517384
2015-12-19-10-04-01-wahrsis3-low.jpg,2015:12:19,10:04:01,0.514124
2015-12-19-10-04-21-wahrsis3-low.jpg,2015:12:19,10:04:21,0.513128
2015-12-19-10-04-41-wahrsis3-low.jpg,2015:12:19,10:04:41,0.498012
2015-12-19-10-05-01-wahrsis3-low.jpg,2015:12:19,10:05:01,0.499248
2015-12-19-10-05-21-wahrsis3-low.jpg,2015:12:19,10:05:21,0.505728
2015-12-19-10-05-41-wahrsis3-low.jpg,2015:12:19,10:05:41,0.490272
2015-12-19-10-06-01-wahrsis3-low.jpg,2015:12:19,10:06:01,0.485588
2015-12-19-10-06-21-wahrsis3-low.jpg,2015:12:19,10:06:21,0.477892
2015-12-19-10-06-41-wahrsis3-low.jpg,2015:12:19,10:06:41,0.472836
2015-12-19-10-07-01-wahrsis3-low.jpg,2015:12:19,10:07:01,0.48306
2015-12-19-10-07-21-wahrsis3-low.jpg,2015:12:19,10:07:21,0.487984
2015-12-19-10-07-41-wahrsis3-low.jpg,2015:12:19,10:07:41,0.503936
2015-12-19-10-08-01-wahrsis3-low.jpg,2015:12:19,10:08:01,0.515684
2015-12-19-10-08-21-wahrsis3-low.jpg,2015:12:19,10:08:21,0.618412
2015-12-19-10-08-41-wahrsis3-low.jpg,2015:12:19,10:08:41,0.635264
2015-12-19-10-09-01-wahrsis3-low.jpg,2015:12:19,10:09:01,0.680604
2015-12-19-10-09-21-wahrsis3-low.jpg,2015:12:19,10:09:21,0.716884
2015-12-19-10-09-41-wahrsis3-low.jpg,2015:12:19,10:09:41,0.668572
2015-12-19-10-10-01-wahrsis3-low.jpg,2015:12:19,10:10:01,0.675256
2015-12-19-10-10-21-wahrsis3-low.jpg,2015:12:19,10:10:21,0.662668
2015-12-19-10-10-41-wahrsis3-low.jpg,2015:12:19,10:10:41,0.638328
2015-12-19-10-11-01-wahrsis3-low.jpg,2015:12:19,10:11:01,0.640408
2015-12-19-10-11-21-wahrsis3-low.jpg,2015:12:19,10:11:21,0.617632
2015-12-19-10-11-41-wahrsis3-low.jpg,2015:12:19,10:11:41,0.619568
2015-12-19-10-12-01-wahrsis3-low.jpg,2015:12:19,10:12:01,0.644068
2015-12-19-10-12-21-wahrsis3-low.jpg,2015:12:19,10:12:22,0.698984
2015-12-19-10-12-41-wahrsis3-low.jpg,2015:12:19,10:12:41,0.702568
2015-12-19-10-13-01-wahrsis3-low.jpg,2015:12:19,10:13:01,0.6757
2015-12-19-10-13-21-wahrsis3-low.jpg,2015:12:19,10:13:21,0.659616
2015-12-19-10-13-41-wahrsis3-low.jpg,2015:12:19,10:13:41,0.634476
2015-12-19-10-14-01-wahrsis3-low.jpg,2015:12:19,10:14:01,0.618468
2015-12-19-10-14-21-wahrsis3-low.jpg,2015:12:19,10:14:21,0.60906
2015-12-19-10-14-41-wahrsis3-low.jpg,2015:12:19,10:14:41,0.602964
2015-12-19-10-15-01-wahrsis3-low.jpg,2015:12:19,10:15:02,0.593436
2015-12-19-10-15-21-wahrsis3-low.jpg,2015:12:19,10:15:22,0.589996
2015-12-19-10-15-41-wahrsis3-low.jpg,2015:12:19,10:15:42,0.571612
2015-12-19-10-16-01-wahrsis3-low.jpg,2015:12:19,10:16:01,0.586296
2015-12-19-10-16-21-wahrsis3-low.jpg,2015:12:19,10:16:21,0.57448
2015-12-19-10-16-41-wahrsis3-low.jpg,2015:12:19,10:16:41,0.575392
2015-12-19-10-17-01-wahrsis3-low.jpg,2015:12:19,10:17:01,0.541632
2015-12-19-10-17-21-wahrsis3-low.jpg,2015:12:19,10:17:21,0.524756
2015-12-19-10-17-41-wahrsis3-low.jpg,2015:12:19,10:17:41,0.527
2015-12-19-10-18-00-wahrsis3-low.jpg,2015:12:19,10:18:01,0.502516
2015-12-19-10-18-20-wahrsis3-low.jpg,2015:12:19,10:18:21,0.48164
2015-12-19-10-18-40-wahrsis3-low.jpg,2015:12:19,10:18:41,0.45306
2015-12-19-10-19-01-wahrsis3-low.jpg,2015:12:19,10:19:01,0.438164
2015-12-19-10-19-21-wahrsis3-low.jpg,2015:12:19,10:19:21,0.427376
2015-12-19-10-19-41-wahrsis3-low.jpg,2015:12:19,10:19:41,0.428044
2015-12-19-10-20-01-wahrsis3-low.jpg,2015:12:19,10:20:01,0.454724
2015-12-19-10-22-01-wahrsis3-low.jpg,2015:12:19,10:22:01,0.55134
2015-12-19-10-24-01-wahrsis3-low.jpg,2015:12:19,10:24:01,0.574776
2015-12-19-10-26-01-wahrsis3-low.jpg,2015:12:19,10:26:02,0.582192
2015-12-19-10-28-01-wahrsis3-low.jpg,2015:12:19,10:28:01,0.555356
2015-12-19-10-30-01-wahrsis3-low.jpg,2015:12:19,10:30:01,0.623132
2015-12-19-10-32-01-wahrsis3-low.jpg,2015:12:19,10:32:01,0.714228
2015-12-19-10-34-01-wahrsis3-low.jpg,2015:12:19,10:34:01,0.666548
2015-12-19-10-36-00-wahrsis3-low.jpg,2015:12:19,10:36:01,0.548572
2015-12-19-10-38-01-wahrsis3-low.jpg,2015:12:19,10:38:01,0.442152
2015-12-19-10-40-01-wahrsis3-low.jpg,2015:12:19,10:40:01,0.47508
2015-12-19-10-42-00-wahrsis3-low.jpg,2015:12:19,10:42:01,0.534576
2015-12-19-10-44-01-wahrsis3-low.jpg,2015:12:19,10:44:01,0.475756
2015-12-19-10-46-01-wahrsis3-low.jpg,2015:12:19,10:46:01,0.543844
2015-12-19-10-48-00-wahrsis3-low.jpg,2015:12:19,10:48:01,0.585584
2015-12-19-10-50-01-wahrsis3-low.jpg,2015:12:19,10:50:01,0.609428
2015-12-19-10-52-01-wahrsis3-low.jpg,2015:12:19,10:52:01,0.499
2015-12-19-10-54-01-wahrsis3-low.jpg,2015:12:19,10:54:02,0.487944
2015-12-19-10-56-01-wahrsis3-low.jpg,2015:12:19,10:56:01,0.48788
2015-12-19-10-58-00-wahrsis3-low.jpg,2015:12:19,10:58:01,0.49334
2015-12-19-11-00-01-wahrsis3-low.jpg,2015:12:19,11:00:01,0.509512
2015-12-19-11-02-00-wahrsis3-low.jpg,2015:12:19,11:02:01,0.540688
2015-12-19-11-04-01-wahrsis3-low.jpg,2015:12:19,11:04:01,0.536056
2015-12-19-11-06-01-wahrsis3-low.jpg,2015:12:19,11:06:01,0.598792
2015-12-19-11-08-01-wahrsis3-low.jpg,2015:12:19,11:08:01,0.49768
2015-12-19-11-10-01-wahrsis3-low.jpg,2015:12:19,11:10:01,0.594148
2015-12-19-11-12-01-wahrsis3-low.jpg,2015:12:19,11:12:01,0.661544
2015-12-19-11-14-01-wahrsis3-low.jpg,2015:12:19,11:14:01,0.744648
