Image, Date, Time, Cloud_Coverage 
2015-11-26-11-46-01-wahrsis3-high.jpg,2015:11:26,11:46:01,0.778308
2015-11-26-11-46-01-wahrsis3-low.jpg,2015:11:26,11:46:01,0.785272
2015-11-26-11-46-01-wahrsis3-med.jpg,2015:11:26,11:46:01,0.779124
2015-11-26-11-50-03-wahrsis3-high.jpg,2015:11:26,11:50:03,0.852088
2015-11-26-11-50-03-wahrsis3-low.jpg,2015:11:26,11:50:03,0.861708
2015-11-26-11-50-03-wahrsis3-med.jpg,2015:11:26,11:50:03,0.872116
2015-11-26-11-51-59-wahrsis3-high.jpg,2015:11:26,11:52:00,0.850628
2015-11-26-11-51-59-wahrsis3-low.jpg,2015:11:26,11:52:00,0.844896
2015-11-26-11-51-59-wahrsis3-med.jpg,2015:11:26,11:51:59,0.838356
2015-11-26-11-53-59-wahrsis3-high.jpg,2015:11:26,11:54:00,0.839344
2015-11-26-11-53-59-wahrsis3-low.jpg,2015:11:26,11:54:00,0.791812
2015-11-26-11-53-59-wahrsis3-med.jpg,2015:11:26,11:53:59,0.816808
2015-11-26-11-56-00-wahrsis3-high.jpg,2015:11:26,11:56:00,0.7779
2015-11-26-11-56-00-wahrsis3-low.jpg,2015:11:26,11:56:00,0.787344
2015-11-26-11-56-00-wahrsis3-med.jpg,2015:11:26,11:56:00,0.786936
2015-11-26-11-58-00-wahrsis3-high.jpg,2015:11:26,11:58:00,0.782364
2015-11-26-11-58-00-wahrsis3-low.jpg,2015:11:26,11:58:00,0.84726
2015-11-26-11-58-00-wahrsis3-med.jpg,2015:11:26,11:58:00,0.790248
2015-11-26-12-00-22-wahrsis3-high.jpg,2015:11:26,12:00:23,0.786884
2015-11-26-12-00-22-wahrsis3-low.jpg,2015:11:26,12:00:23,0.819868
2015-11-26-12-00-22-wahrsis3-med.jpg,2015:11:26,12:00:22,0.774992
2015-11-26-12-00-39-wahrsis3-high.jpg,2015:11:26,12:00:40,0.782128
2015-11-26-12-00-39-wahrsis3-low.jpg,2015:11:26,12:00:40,0.82374
2015-11-26-12-00-39-wahrsis3-med.jpg,2015:11:26,12:00:39,0.777512
2015-11-26-12-00-59-wahrsis3-high.jpg,2015:11:26,12:01:00,0.793868
2015-11-26-12-00-59-wahrsis3-low.jpg,2015:11:26,12:01:00,0.801344
2015-11-26-12-00-59-wahrsis3-med.jpg,2015:11:26,12:00:59,0.79574
2015-11-26-12-01-19-wahrsis3-high.jpg,2015:11:26,12:01:19,0.783068
2015-11-26-12-01-19-wahrsis3-low.jpg,2015:11:26,12:01:19,0.831652
2015-11-26-12-01-19-wahrsis3-med.jpg,2015:11:26,12:01:19,0.777868
